mtop: 99.8768% within the range, 0.0822% underflow, 0.04095% overflow
  [min, max]=[-0.1269052601, 0.0509171276]
deltagHcc_gicorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.05744425612, 0.06214473692]
deltagHbb_gicorr: 99.9997% within the range, 0% underflow, 0.0002625% overflow
  [min, max]=[-0.02357789925, 0.02639176126]
deltagHtata_gicorr: 99.9997% within the range, 0% underflow, 0.00035% overflow
  [min, max]=[-0.02788579117, 0.03220266272]
deltagHmumu_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.2024426776, 0.2131506313]
deltagZeeL_gicorr: 99.9991% within the range, 0.0008625% underflow, 0% overflow
  [min, max]=[-0.0003784097138, 0.0003408090424]
deltagZeeR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000378087446, 0.0004200605346]
deltaUWeve_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007208135855, 0.0006603928178]
deltagZmumuL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002965023924, 0.0003645328022]
deltagZmumuR_gicorr: 100% within the range, 0% underflow, 1.25e-05% overflow
  [min, max]=[-0.0003592038901, 0.0005341025602]
deltaUWmuvmu_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009159770223, 0.0008797078551]
deltagZtataL_gicorr: 99.9998% within the range, 0% underflow, 0.000175% overflow
  [min, max]=[-0.00047120961, 0.0006491402378]
deltagZtataR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006320696021, 0.0007903673406]
deltaUWtavta_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0008511679886, 0.0009013159216]
deltaguL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003483591756, 0.003430472339]
deltaguR_gicorr: 99.9999% within the range, 0.000125% underflow, 0% overflow
  [min, max]=[-0.004488292737, 0.004437516173]
deltagdL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003575135683, 0.003319119451]
deltagdR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.07770109997, 0.07562462702]
deltagbL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0008264260651, 0.0008723519163]
deltagbR_gicorr: 99.9999% within the range, 0% underflow, 0.0001375% overflow
  [min, max]=[-0.008424769784, 0.008544141998]
CW_corr: 99.9999% within the range, 6.25e-05% underflow, 0% overflow
  [min, max]=[-0.01404691012, 0.01174270232]
CHG_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003049418591, 0.006996810157]
CHW_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.03028025907, 0.0483115428]
CHB_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.009985607711, 0.01027892959]
CHWB_corr: 99.9995% within the range, 0.000525% underflow, 0% overflow
  [min, max]=[-0.02679916722, 0.02290410029]
CHD_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.05019486695, 0.03016477676]
CHbox_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.09678252448, 0.2433788009]
CHL1_11_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.007400424293, 0.01269699498]
CHL1_22_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01600950245, 0.01855530111]
CHL1_33_corr: 100% within the range, 0% underflow, 3.75e-05% overflow
  [min, max]=[-0.01791368056, 0.01913340613]
CHL3_11_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.009389084969, 0.01515787931]
CHL3_22_corr: 100% within the range, 0% underflow, 1.25e-05% overflow
  [min, max]=[-0.01635816454, 0.02813140457]
CHL3_33_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01960377702, 0.02732013516]
CHe_11_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01671369914, 0.02135044834]
CHe_22_corr: 99.9999% within the range, 0% underflow, 7.5e-05% overflow
  [min, max]=[-0.01928322796, 0.02346897404]
CHe_33_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01881558738, 0.02299037346]
CHQ1_11_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.04364261257, 0.0411326978]
CHQ1_33_corr: 100% within the range, 0% underflow, 0% overflow
