delgbR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001880496677, 0.00174441569]
eHWWpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.006385609369, 0.006101468481]
eHZZpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.006598900065, 0.006162710119]
eHZgapar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00658163147, 0.006484276463]
Mz_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18500316, 91.191242]
GammaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.489531827, 2.49958334]
sigmaHadron_C: 99.9999% within the range, 0.0001125% underflow, 0% overflow
  [min, max]=[41.40729801, 41.56865883]
Relectron_C: 100% within the range, 0% underflow, 2.5e-05% overflow
  [min, max]=[20.66450356, 20.80413839]
Rmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.64257572, 20.81782825]
Rtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.67357819, 20.8868851]
AFBelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01612511415, 0.01643138902]
AFBmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01584615667, 0.01669420336]
AFBtau_C: 99.9998% within the range, 0% underflow, 0.0001875% overflow
  [min, max]=[0.01584798651, 0.0167909404]
Aelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1466306348, 0.1480174637]
Amuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1433408305, 0.1511481721]
Atau_C: 99.9999% within the range, 0% underflow, 0.000125% overflow
  [min, max]=[0.1435610688, 0.1517172405]
AelectronPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1466306348, 0.1480174637]
AtauPtau_C: 99.9999% within the range, 0% underflow, 0.000125% overflow
  [min, max]=[0.1435610688, 0.1517172405]
Rbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2147442859, 0.2168778884]
Rcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1683669524, 0.1756922057]
AFBbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1027106322, 0.1038547866]
AFBcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.07298506375, 0.07470720224]
Abottom_C: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[0.9316653501, 0.9378515678]
Acharm_C: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[0.6612145207, 0.6757221132]
BrWelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1081526679, 0.108585701]
BrWmuon_C: 99.9996% within the range, 0.0003625% underflow, 0% overflow
  [min, max]=[0.1080794158, 0.1086735424]
BrWtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.108111164, 0.1086365082]
gZttL_ILC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004632575564, 0.004715187129]
gZttR_ILC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002138052758, 0.001959194912]
deltag1Z_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001631209532, 0.001382679932]
deltaKgamma_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002298172469, 0.002176778783]
lambdaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004111559728, 0.0003784962007]
deltaguL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004026499327, 0.003615442249]
deltaguR_HLLHC_OO: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.002448577678, 0.002322861306]
deltagdL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004138399663, 0.00419662888]
deltagdR_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01116389517, 0.01147720514]
deltag1Z_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001631209532, 0.001382679932]
deltaKgamma_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002298172469, 0.002176778783]
lambdaZ_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004111559728, 0.0003784962007]
deltag1Z_OO_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001631209532, 0.001382679932]
deltaKgamma_OO_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002298172469, 0.002176778783]
lambdaZ_OO_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004111559728, 0.0003784962007]
deltageL_OO_ILC250: 99.9993% within the range, 0.0007% underflow, 0% overflow
  [min, max]=[-0.0004147512513, 0.0003883037056]
deltageR_OO_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003027369558, 0.0002843293036]
